IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | continue_current
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | continue_current
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | continue_current
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | assigned
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | continue_current
TASK-096 | NAV-R4: 控制层 VelocityController | in_progress | continue_current
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
