IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
IDLE | no tasks
TASK-100 | NAV-QA2: 雪莹审计 — R4~R6 + done验证 | in_progress | assigned
TASK-100 | NAV-QA2: 雪莹审计 — R4~R6 + done验证 | in_progress | continue_current
IDLE | no tasks
IDLE | no tasks
TASK-100 | NAV-QA2: 雪莹审计 — R4~R6 + done验证 | in_progress | continue_current
TASK-100 | NAV-QA2: 雪莹审计 — R4~R6 + done验证 | in_progress | continue_current
IDLE | no tasks
